,id,dist,task
535,39215,16.83364598686855,33
536,39216,16.829765519779823,33
537,39217,16.826476956387257,33
538,39219,16.81561507489934,33
539,39220,16.81365916248688,33
540,39222,16.80274118518395,33
541,39225,16.798751236707986,33
542,39228,16.79605060935592,33
543,39229,16.7902413527035,33
544,39230,16.78502179281086,33
545,39231,16.78244240050997,33
546,39233,16.778627848310656,33
547,39235,16.776827333134978,33
548,39239,16.773845899743993,33
549,39241,16.769619772804145,33
550,39242,16.76565295169946,33
551,39247,16.761425207094746,33
552,39249,16.75743763575331,33
553,39250,16.752938565486858,33
554,39253,16.749031294125373,34
555,39256,16.74383727791254,34
556,39257,16.74030258870532,34
557,39262,16.736811546796417,34
558,39263,16.732393561447044,34
559,39264,16.724913396095694,34
560,39265,16.72112059496009,34
561,39266,16.716741405082214,34
562,39269,16.71153908530652,34
563,39270,16.709585133196637,34
564,39272,16.706923650268973,34
565,39275,16.69901710957408,34
566,39276,16.693777896155677,34
567,39279,16.689675155339494,34
568,39280,16.686090074445676,34
569,39282,16.680138086062943,34
570,39283,16.676067512983266,34
571,39286,16.671435200742483,34
572,39287,16.665955679112944,34
573,39288,16.66182807711951,34
574,39293,16.650657144906628,35
575,39294,16.647825948409096,35
576,39295,16.645442818238283,35
577,39296,16.644534077981177,35
578,39297,16.642189798433588,35
579,39298,16.640834492350486,35
580,39300,16.638802201205422,35
581,39301,16.636418464761572,35
582,39302,16.634707543876353,35
583,39305,16.63264723605341,35
584,39312,16.629563041050538,35
585,39313,16.627856701667696,35
586,39315,16.6259426608953,35
587,39328,16.62377583685729,35
588,39331,16.623974285059905,35
589,39332,16.622080361088315,35
590,39337,16.628765279537816,36
591,39338,16.62457737730182,36
592,39339,16.641357521402366,36
593,39342,16.668348448575685,36
594,39345,16.678303504239686,36
595,39346,16.689106922126083,36
596,39347,16.693537082251815,36
597,39348,16.691119602069605,36
598,39349,16.702076983166634,36
599,39350,16.697191977077363,36
600,39351,16.699021947110438,36
601,39354,16.699553615561857,36
602,39357,16.693800154730663,36
603,39358,16.69152264995795,36
604,39359,16.691445066612257,36
605,39361,16.687222540995982,36
606,39362,16.69239844301838,36
607,39366,16.69479027078015,36
608,39369,16.69100115178077,36
609,39371,16.68865811595718,36
610,39374,16.684927828130245,37
611,39375,16.680705023103293,37
612,39377,16.67699250135899,37
613,39380,16.673394986868242,37
614,39383,16.673784113205304,37
615,39385,16.67096448359353,37
616,39387,16.668326678442607,37
617,39389,16.665702375124244,37
618,39390,16.663088760730012,37
619,39395,16.66188973812063,37
620,39397,16.659402158624875,37
621,39399,16.656544285724852,37
622,39402,16.655960861982322,37
623,39406,16.653401664463626,37
624,39407,16.650999579357524,37
625,39409,16.646961240424385,37
626,39410,16.641958114102962,37
627,39411,16.638852480744593,37
628,39412,16.6357336746629,37
629,39414,16.636410373166665,38
630,39417,16.64896727064909,38
631,39418,16.662639153856837,38
